time,digital_currency,currency,spot price,day,month,year
2013-01-01,BTC,USD,13.40,1,1,2013
2013-01-02,BTC,USD,13.32,2,1,2013
2013-01-03,BTC,USD,13.35,3,1,2013
2013-01-04,BTC,USD,13.39,4,1,2013
2013-01-05,BTC,USD,13.43,5,1,2013
2013-01-06,BTC,USD,13.44,6,1,2013
2013-01-07,BTC,USD,13.47,7,1,2013
2013-01-08,BTC,USD,13.72,8,1,2013
2013-01-09,BTC,USD,13.74,9,1,2013
2013-01-10,BTC,USD,13.99,10,1,2013
2013-01-11,BTC,USD,14.12,11,1,2013
2013-01-12,BTC,USD,14.19,12,1,2013
2013-01-13,BTC,USD,14.12,13,1,2013
2013-01-14,BTC,USD,14.20,14,1,2013
2013-01-15,BTC,USD,14.23,15,1,2013
2013-01-16,BTC,USD,14.48,16,1,2013
2013-01-17,BTC,USD,15.03,17,1,2013
2013-01-18,BTC,USD,15.71,18,1,2013
2013-01-19,BTC,USD,15.48,19,1,2013
2013-01-20,BTC,USD,15.69,20,1,2013
2013-01-21,BTC,USD,16.41,21,1,2013
2013-01-22,BTC,USD,17.08,22,1,2013
2013-01-23,BTC,USD,17.22,23,1,2013
2013-01-24,BTC,USD,18.01,24,1,2013
2013-01-25,BTC,USD,16.94,25,1,2013
2013-01-26,BTC,USD,17.07,26,1,2013
2013-01-27,BTC,USD,17.54,27,1,2013
2013-01-28,BTC,USD,18.19,28,1,2013
2013-01-29,BTC,USD,19.18,29,1,2013
2013-01-30,BTC,USD,19.45,30,1,2013
2013-01-31,BTC,USD,20.42,31,1,2013
2013-02-01,BTC,USD,20.76,1,2,2013
2013-02-02,BTC,USD,19.80,2,2,2013
2013-02-03,BTC,USD,20.15,3,2,2013
2013-02-04,BTC,USD,20.52,4,2,2013
2013-02-05,BTC,USD,20.51,5,2,2013
2013-02-06,BTC,USD,21.11,6,2,2013
2013-02-07,BTC,USD,21.55,7,2,2013
2013-02-08,BTC,USD,22.49,8,2,2013
2013-02-09,BTC,USD,23.15,9,2,2013
2013-02-10,BTC,USD,23.61,10,2,2013
2013-02-11,BTC,USD,24.10,11,2,2013
2013-02-12,BTC,USD,25.07,12,2,2013
2013-02-13,BTC,USD,25.43,13,2,2013
2013-02-14,BTC,USD,26.00,14,2,2013
2013-02-15,BTC,USD,27.02,15,2,2013
2013-02-16,BTC,USD,27.17,16,2,2013
2013-02-17,BTC,USD,26.86,17,2,2013
2013-02-18,BTC,USD,26.74,18,2,2013
2013-02-19,BTC,USD,28.31,19,2,2013
2013-02-20,BTC,USD,29.52,20,2,2013
2013-02-21,BTC,USD,29.69,21,2,2013
2013-02-22,BTC,USD,30.48,22,2,2013
2013-02-23,BTC,USD,29.26,23,2,2013
2013-02-24,BTC,USD,29.71,24,2,2013
2013-02-25,BTC,USD,30.09,25,2,2013
2013-02-26,BTC,USD,30.89,26,2,2013
2013-02-27,BTC,USD,31.23,27,2,2013
2013-02-28,BTC,USD,33.05,28,2,2013
2013-03-01,BTC,USD,34.06,1,3,2013
2013-03-02,BTC,USD,34.11,2,3,2013
2013-03-03,BTC,USD,34.16,3,3,2013
2013-03-04,BTC,USD,35.29,4,3,2013
2013-03-05,BTC,USD,39.12,5,3,2013
2013-03-06,BTC,USD,45.23,6,3,2013
2013-03-07,BTC,USD,42.55,7,3,2013
2013-03-08,BTC,USD,43.28,8,3,2013
2013-03-09,BTC,USD,45.26,9,3,2013
2013-03-10,BTC,USD,47.08,10,3,2013
2013-03-11,BTC,USD,47.57,11,3,2013
2013-03-12,BTC,USD,44.23,12,3,2013
2013-03-13,BTC,USD,46.25,13,3,2013
2013-03-14,BTC,USD,47.44,14,3,2013
2013-03-15,BTC,USD,47.16,15,3,2013
2013-03-16,BTC,USD,46.87,16,3,2013
2013-03-17,BTC,USD,47.42,17,3,2013
2013-03-18,BTC,USD,48.10,18,3,2013
2013-03-19,BTC,USD,54.71,19,3,2013
2013-03-20,BTC,USD,61.18,20,3,2013
2013-03-21,BTC,USD,68.49,21,3,2013
2013-03-22,BTC,USD,71.59,22,3,2013
2013-03-23,BTC,USD,65.63,23,3,2013
2013-03-24,BTC,USD,68.15,24,3,2013
2013-03-25,BTC,USD,73.47,25,3,2013
2013-03-26,BTC,USD,77.06,26,3,2013
2013-03-27,BTC,USD,85.51,27,3,2013
2013-03-28,BTC,USD,90.32,28,3,2013
2013-03-29,BTC,USD,89.99,29,3,2013
2013-03-30,BTC,USD,91.14,30,3,2013
2013-03-31,BTC,USD,92.89,31,3,2013
2013-04-01,BTC,USD,100.95,1,4,2013
2013-04-02,BTC,USD,107.31,2,4,2013
2013-04-03,BTC,USD,130.64,3,4,2013
2013-04-04,BTC,USD,132.21,4,4,2013
2013-04-05,BTC,USD,138.09,5,4,2013
2013-04-06,BTC,USD,142.35,6,4,2013
2013-04-07,BTC,USD,152.14,7,4,2013
2013-04-08,BTC,USD,181.56,8,4,2013
2013-04-09,BTC,USD,209.65,9,4,2013
2013-04-10,BTC,USD,218.85,10,4,2013
2013-04-11,BTC,USD,146.89,11,4,2013
2013-04-12,BTC,USD,90.86,12,4,2013
2013-04-13,BTC,USD,109.42,13,4,2013
2013-04-14,BTC,USD,91.00,14,4,2013
2013-04-15,BTC,USD,91.00,15,4,2013
2013-04-16,BTC,USD,89.89,16,4,2013
2013-04-17,BTC,USD,82.86,17,4,2013
2013-04-18,BTC,USD,94.63,18,4,2013
2013-04-19,BTC,USD,118.62,19,4,2013
2013-04-20,BTC,USD,121.08,20,4,2013
2013-04-21,BTC,USD,124.21,21,4,2013
2013-04-22,BTC,USD,122.88,22,4,2013
2013-04-23,BTC,USD,131.96,23,4,2013
2013-04-24,BTC,USD,150.81,24,4,2013
2013-04-25,BTC,USD,152.26,25,4,2013
2013-04-26,BTC,USD,134.32,26,4,2013
2013-04-27,BTC,USD,134.00,27,4,2013
2013-04-28,BTC,USD,132.70,28,4,2013
2013-04-29,BTC,USD,139.60,29,4,2013
2013-04-30,BTC,USD,142.14,30,4,2013
2013-05-01,BTC,USD,128.08,1,5,2013
2013-05-02,BTC,USD,111.48,2,5,2013
2013-05-03,BTC,USD,93.51,3,5,2013
2013-05-04,BTC,USD,104.40,4,5,2013
2013-05-05,BTC,USD,114.15,5,5,2013
2013-05-06,BTC,USD,118.78,6,5,2013
2013-05-07,BTC,USD,107.96,7,5,2013
2013-05-08,BTC,USD,112.92,8,5,2013
